transaction_id,timestamp,customer_id,product_id,product_category,price,quantity,payment_method,store_location
ADD0047,2025-02-12T04:00:55.080712,C3843,P395,Toys,372.37,4,Mobile Payment,Houston
ADD0048,2025-02-12T04:03:11.080712,C6116,P566,Electronics,267.42,1,Mobile Payment,New York
ADD0049,2025-02-12T04:05:08.080712,C5980,P409,Electronics,326.26,4,Gift Card,San Francisco
ADD0050,2025-02-12T04:03:53.080712,C8350,P468,Home & Kitchen,419.75,3,Mobile Payment,Chicago
ADD0051,2025-02-12T04:03:26.080712,C6426,P222,Sports,176.7,4,Mobile Payment,Houston
ADD0052,2025-02-12T04:02:44.080712,C9090,P261,Sports,26.99,3,Gift Card,San Francisco
ADD0053,2025-02-12T04:00:42.080712,C6078,P120,Home & Kitchen,450.15,5,Cash,San Francisco
ADD0054,2025-02-12T04:01:37.080712,C6073,P515,Sports,123.91,5,Mobile Payment,San Francisco
ADD0055,2025-02-12T04:00:35.080712,C3375,P653,Books,449.25,5,Credit Card,San Francisco
ADD0056,2025-02-12T04:05:15.080712,C3201,P916,Electronics,164.61,1,Gift Card,Phoenix
ADD0057,2025-02-12T04:00:51.080712,C6058,P448,Books,294.88,4,Cash,New York
ADD0058,2025-02-12T04:02:27.080712,C2438,P622,Toys,127.82,5,Cash,Houston
ADD0059,2025-02-12T04:04:12.080712,C9496,P424,Toys,393.84,5,Cash,Phoenix
ADD0060,2025-02-12T04:05:23.080712,C6114,P976,Electronics,137.62,3,Mobile Payment,Los Angeles
ADD0061,2025-02-12T04:01:06.080712,C8085,P936,Toys,359.0,2,Credit Card,Houston
ADD0062,2025-02-12T04:00:36.080712,C2131,P330,Clothing,408.16,3,Gift Card,New York
ADD0063,2025-02-12T04:01:09.080712,C2872,P654,Sports,72.17,3,Cash,Chicago
ADD0064,2025-02-12T04:05:12.080712,C5911,P984,Electronics,429.11,1,Gift Card,San Francisco
ADD0065,2025-02-12T04:03:15.080712,C4542,P531,Toys,454.1,5,Cash,Los Angeles
ADD0066,2025-02-12T04:01:50.080712,C1341,P559,Clothing,359.81,4,Cash,New York
ADD0067,2025-02-12T04:04:00.080712,C3623,P399,Home & Kitchen,309.58,4,Credit Card,Los Angeles
ADD0068,2025-02-12T04:02:09.080712,C7278,P764,Books,73.75,2,Cash,Chicago
ADD0069,2025-02-12T04:02:09.080712,C9170,P815,Toys,295.61,2,Gift Card,Phoenix
ADD0070,2025-02-12T04:02:57.080712,C1906,P950,Electronics,491.24,5,Cash,Houston
ADD0071,2025-02-12T04:01:17.080712,C7560,P208,Books,115.47,1,Debit Card,Los Angeles
ADD0072,2025-02-12T04:04:38.080712,C8188,P279,Home & Kitchen,6.1,2,Gift Card,San Francisco
ADD0073,2025-02-12T04:00:40.080712,C6257,P320,Electronics,122.09,1,Gift Card,Phoenix
ADD0074,2025-02-12T04:00:27.080712,C9046,P504,Books,266.16,4,Mobile Payment,Chicago
ADD0075,2025-02-12T04:01:00.080712,C8475,P464,Books,499.01,5,Gift Card,New York
ADD0076,2025-02-12T04:03:48.080712,C3578,P755,Electronics,387.13,3,Mobile Payment,Los Angeles
ADD0077,2025-02-12T04:00:24.080712,C7763,P513,Clothing,425.22,4,Gift Card,San Francisco
ADD0078,2025-02-12T04:03:28.080712,C3735,P146,Toys,153.9,3,Gift Card,Los Angeles
ADD0079,2025-02-12T04:01:25.080712,C7734,P347,Books,302.3,2,Gift Card,Houston
ADD0080,2025-02-12T04:01:12.080712,C4058,P473,Electronics,265.02,5,Mobile Payment,San Francisco
ADD0081,2025-02-12T04:03:52.080712,C7413,P484,Electronics,214.08,2,Cash,Chicago
ADD0082,2025-02-12T04:03:06.080712,C2839,P353,Electronics,5.82,4,Cash,Houston
ADD0083,2025-02-12T04:04:36.080712,C1423,P739,Clothing,44.71,2,Cash,Los Angeles
ADD0084,2025-02-12T04:00:56.080712,C7757,P260,Books,128.43,1,Gift Card,San Francisco
ADD0085,2025-02-12T04:00:58.080712,C8000,P817,Books,57.15,3,Cash,Houston
ADD0086,2025-02-12T04:04:28.080712,C6482,P478,Home & Kitchen,386.22,1,Mobile Payment,New York
ADD0087,2025-02-12T04:00:24.080712,C4261,P919,Electronics,473.56,3,Credit Card,Los Angeles
ADD0088,2025-02-12T04:03:29.080712,C8482,P124,Toys,111.51,4,Debit Card,Chicago
ADD0089,2025-02-12T04:05:01.080712,C3063,P947,Books,131.63,2,Gift Card,San Francisco
ADD0090,2025-02-12T04:00:53.080712,C8727,P421,Sports,447.77,4,Debit Card,New York
ADD0091,2025-02-12T04:04:08.080712,C3609,P793,Electronics,420.43,4,Cash,Phoenix
ADD0092,2025-02-12T04:01:33.080712,C7115,P836,Clothing,24.55,3,Debit Card,Phoenix
ADD0093,2025-02-12T04:02:14.080712,C8660,P327,Clothing,440.54,4,Debit Card,New York
ADD0094,2025-02-12T04:03:16.080712,C9358,P796,Electronics,208.35,2,Credit Card,New York
ADD0095,2025-02-12T04:03:40.080712,C1378,P858,Clothing,44.19,3,Cash,San Francisco
ADD0096,2025-02-12T04:01:11.080712,C6229,P484,Home & Kitchen,315.36,1,Debit Card,New York
ADD0097,2025-02-12T04:00:46.080712,C7659,P501,Books,321.26,3,Cash,San Francisco
ADD0098,2025-02-12T04:01:23.080712,C5605,P546,Toys,425.96,4,Cash,Chicago
ADD0099,2025-02-12T04:04:04.080712,C1807,P177,Home & Kitchen,65.43,2,Cash,Chicago
ADD0100,2025-02-12T04:02:10.080712,C7891,P180,Books,188.54,2,Debit Card,Chicago
ADD0101,2025-02-12T04:02:42.080712,C9073,P734,Electronics,329.01,4,Debit Card,Houston
ADD0102,2025-02-12T04:03:08.080712,C7199,P629,Clothing,309.52,1,Mobile Payment,San Francisco
ADD0103,2025-02-12T04:01:29.080712,C4134,P507,Books,294.66,2,Mobile Payment,Chicago
ADD0104,2025-02-12T04:00:23.080712,C2989,P929,Sports,448.92,4,Credit Card,Houston
ADD0105,2025-02-12T04:00:58.080712,C2687,P647,Toys,304.67,1,Credit Card,New York
ADD0106,2025-02-12T04:02:53.080712,C9823,P769,Books,268.72,3,Cash,New York
ADD0107,2025-02-12T04:01:44.080712,C1970,P506,Toys,302.01,4,Mobile Payment,Phoenix
ADD0108,2025-02-12T04:01:35.080712,C7562,P369,Toys,447.37,3,Debit Card,Houston
ADD0109,2025-02-12T04:03:45.080712,C4067,P554,Home & Kitchen,200.56,5,Gift Card,Chicago
ADD0110,2025-02-12T04:03:27.080712,C5300,P780,Electronics,297.57,5,Cash,San Francisco
ADD0111,2025-02-12T04:05:18.080712,C3748,P802,Toys,58.31,4,Debit Card,Los Angeles
ADD0112,2025-02-12T04:04:59.080712,C1660,P802,Books,414.73,4,Cash,Houston
ADD0113,2025-02-12T04:03:54.080712,C2961,P379,Sports,287.31,3,Cash,Chicago
ADD0114,2025-02-12T04:04:27.080712,C2268,P684,Books,74.08,5,Cash,San Francisco
ADD0115,2025-02-12T04:02:52.080712,C8020,P317,Sports,381.09,4,Cash,Phoenix
ADD0116,2025-02-12T04:02:56.080712,C9655,P559,Books,333.59,2,Mobile Payment,Chicago
ADD0117,2025-02-12T04:04:41.080712,C1960,P117,Home & Kitchen,492.78,4,Mobile Payment,Phoenix
ADD0118,2025-02-12T04:05:12.080712,C5310,P850,Toys,141.12,2,Cash,Phoenix
ADD0119,2025-02-12T04:05:10.080712,C3858,P342,Sports,454.68,2,Mobile Payment,Los Angeles
ADD0120,2025-02-12T04:01:56.080712,C6691,P999,Sports,417.95,1,Cash,New York
ADD0121,2025-02-12T04:04:04.080712,C7879,P655,Home & Kitchen,134.67,3,Cash,New York
ADD0122,2025-02-12T04:01:31.080712,C7420,P198,Sports,485.44,2,Debit Card,San Francisco
ADD0123,2025-02-12T04:04:13.080712,C8266,P563,Toys,57.57,4,Cash,San Francisco
ADD0124,2025-02-12T04:04:52.080712,C1020,P484,Books,495.0,3,Gift Card,New York
ADD0125,2025-02-12T04:04:47.080712,C2132,P241,Electronics,231.21,4,Debit Card,San Francisco
ADD0126,2025-02-12T04:00:59.080712,C1857,P932,Home & Kitchen,96.24,1,Credit Card,Phoenix
ADD0127,2025-02-12T04:02:45.080712,C6544,P290,Electronics,406.4,5,Debit Card,Los Angeles
ADD0128,2025-02-12T04:03:20.080712,C4551,P944,Toys,405.1,1,Credit Card,Phoenix
ADD0129,2025-02-12T04:03:31.080712,C1899,P413,Books,324.71,3,Cash,New York
ADD0130,2025-02-12T04:04:43.080712,C6940,P805,Sports,407.52,1,Credit Card,Phoenix
ADD0131,2025-02-12T04:05:16.080712,C7684,P342,Sports,107.25,1,Mobile Payment,Phoenix
ADD0132,2025-02-12T04:04:04.080712,C8706,P175,Clothing,227.23,1,Credit Card,San Francisco
ADD0133,2025-02-12T04:00:52.080712,C5570,P134,Toys,316.78,2,Debit Card,Chicago
ADD0134,2025-02-12T04:05:04.080712,C5920,P694,Books,249.24,4,Mobile Payment,Los Angeles
ADD0135,2025-02-12T04:05:18.080712,C4121,P558,Toys,43.52,3,Gift Card,Phoenix
ADD0136,2025-02-12T04:00:30.080712,C5546,P134,Electronics,277.99,5,Cash,San Francisco
ADD0137,2025-02-12T04:02:17.080712,C7068,P260,Sports,38.26,4,Mobile Payment,San Francisco
ADD0138,2025-02-12T04:02:27.080712,C2347,P386,Books,291.39,5,Gift Card,San Francisco
ADD0139,2025-02-12T04:02:22.080712,C1846,P641,Home & Kitchen,135.48,5,Gift Card,Chicago
ADD0140,2025-02-12T04:03:09.080712,C1798,P615,Sports,51.19,1,Gift Card,San Francisco
ADD0141,2025-02-12T04:02:41.080712,C5481,P845,Clothing,217.37,1,Mobile Payment,San Francisco
ADD0142,2025-02-12T04:04:43.080712,C1747,P953,Toys,385.4,4,Gift Card,Phoenix
ADD0143,2025-02-12T04:00:29.080712,C5117,P100,Toys,98.44,2,Mobile Payment,New York
ADD0144,2025-02-12T04:01:17.080712,C9325,P405,Sports,146.16,1,Cash,New York
ADD0145,2025-02-12T04:00:29.080712,C5163,P805,Books,498.17,5,Cash,Phoenix
ADD0146,2025-02-12T04:03:43.080712,C9727,P345,Electronics,13.25,4,Debit Card,San Francisco
ADD0147,2025-02-12T04:00:41.080712,C4520,P996,Sports,474.67,2,Credit Card,Phoenix
ADD0148,2025-02-12T04:05:21.080712,C8511,P251,Clothing,327.95,3,Credit Card,Houston
ADD0149,2025-02-12T04:04:23.080712,C4387,P747,Electronics,352.15,3,Cash,Los Angeles
ADD0150,2025-02-12T04:00:58.080712,C6660,P793,Toys,175.75,4,Mobile Payment,Phoenix
ADD0151,2025-02-12T04:01:01.080712,C6374,P226,Electronics,474.1,2,Credit Card,San Francisco
ADD0152,2025-02-12T04:03:26.080712,C3571,P356,Toys,335.93,1,Cash,Los Angeles
ADD0153,2025-02-12T04:02:30.080712,C4932,P755,Toys,166.79,2,Cash,San Francisco
ADD0154,2025-02-12T04:01:56.080712,C1729,P597,Electronics,31.07,5,Mobile Payment,San Francisco
ADD0155,2025-02-12T04:02:21.080712,C7086,P528,Clothing,40.32,3,Debit Card,New York
ADD0156,2025-02-12T04:05:21.080712,C5765,P772,Books,233.4,1,Debit Card,San Francisco
ADD0157,2025-02-12T04:03:47.080712,C9334,P177,Clothing,218.16,4,Cash,Chicago
ADD0158,2025-02-12T04:01:44.080712,C1236,P205,Sports,299.55,5,Gift Card,Phoenix
ADD0159,2025-02-12T04:03:50.080712,C5586,P223,Books,398.4,4,Debit Card,Chicago
ADD0160,2025-02-12T04:04:34.080712,C6249,P656,Clothing,187.79,1,Cash,San Francisco
ADD0161,2025-02-12T04:00:59.080712,C5899,P612,Home & Kitchen,268.19,1,Cash,Chicago
ADD0162,2025-02-12T04:02:21.080712,C3303,P991,Toys,136.34,3,Debit Card,San Francisco
ADD0163,2025-02-12T04:00:34.080712,C1564,P621,Toys,327.81,5,Gift Card,Houston
ADD0164,2025-02-12T04:03:55.080712,C4612,P566,Home & Kitchen,365.9,5,Mobile Payment,Chicago
ADD0165,2025-02-12T04:04:25.080712,C7743,P211,Electronics,319.07,2,Debit Card,San Francisco
ADD0166,2025-02-12T04:05:14.080712,C5510,P465,Toys,383.44,3,Mobile Payment,Los Angeles
ADD0167,2025-02-12T04:01:45.080712,C3018,P505,Clothing,140.7,4,Mobile Payment,New York
ADD0168,2025-02-12T04:05:20.080712,C9046,P535,Books,155.89,3,Gift Card,Chicago
ADD0169,2025-02-12T04:01:55.080712,C8726,P333,Electronics,61.03,4,Cash,Chicago
ADD0170,2025-02-12T04:02:22.080712,C8904,P812,Books,54.77,5,Credit Card,New York
ADD0171,2025-02-12T04:01:19.080712,C4500,P894,Books,320.93,2,Cash,Los Angeles
ADD0172,2025-02-12T04:04:31.080712,C2764,P265,Sports,422.88,4,Mobile Payment,Houston
ADD0173,2025-02-12T04:05:05.080712,C8957,P412,Books,131.69,3,Cash,New York
ADD0174,2025-02-12T04:01:41.080712,C3658,P964,Books,358.69,5,Credit Card,Houston
ADD0175,2025-02-12T04:03:24.080712,C4843,P378,Electronics,114.67,1,Gift Card,New York
ADD0176,2025-02-12T04:04:39.080712,C5482,P499,Toys,499.73,1,Gift Card,New York
ADD0177,2025-02-12T04:03:17.080712,C9458,P762,Clothing,64.01,3,Gift Card,San Francisco
ADD0178,2025-02-12T04:00:56.080712,C2936,P813,Books,303.39,1,Credit Card,San Francisco
ADD0179,2025-02-12T04:02:02.080712,C5739,P780,Toys,306.0,1,Gift Card,New York
ADD0180,2025-02-12T04:04:26.080712,C7454,P845,Home & Kitchen,282.47,4,Debit Card,Phoenix
ADD0181,2025-02-12T04:02:39.080712,C8617,P361,Books,470.46,1,Gift Card,San Francisco
ADD0182,2025-02-12T04:03:20.080712,C2874,P659,Books,486.01,2,Debit Card,Chicago
ADD0183,2025-02-12T04:03:40.080712,C8406,P786,Books,342.27,2,Mobile Payment,New York
ADD0184,2025-02-12T04:00:23.080712,C9700,P790,Home & Kitchen,148.73,5,Gift Card,New York
ADD0185,2025-02-12T04:02:34.080712,C6217,P113,Clothing,189.3,4,Debit Card,New York
ADD0186,2025-02-12T04:00:29.080712,C7046,P738,Toys,498.7,1,Debit Card,Houston
ADD0187,2025-02-12T04:03:38.080712,C3281,P375,Home & Kitchen,161.29,3,Credit Card,Phoenix
ADD0188,2025-02-12T04:05:10.080712,C6837,P679,Toys,244.61,1,Gift Card,Los Angeles
ADD0189,2025-02-12T04:04:54.080712,C7344,P714,Books,499.41,4,Debit Card,Los Angeles
ADD0190,2025-02-12T04:02:24.080712,C7367,P415,Toys,372.17,4,Gift Card,Houston
ADD0191,2025-02-12T04:04:49.080712,C6153,P280,Toys,442.74,5,Debit Card,Chicago
ADD0192,2025-02-12T04:04:43.080712,C8788,P913,Books,437.15,1,Credit Card,Chicago
ADD0193,2025-02-12T04:01:58.080712,C4665,P423,Toys,71.19,3,Debit Card,Phoenix
ADD0194,2025-02-12T04:04:36.080712,C8383,P821,Clothing,29.53,4,Credit Card,San Francisco
ADD0195,2025-02-12T04:05:02.080712,C9972,P732,Electronics,176.69,4,Mobile Payment,Los Angeles
ADD0196,2025-02-12T04:01:55.080712,C5791,P970,Sports,427.4,3,Mobile Payment,Los Angeles
ADD0197,2025-02-12T04:00:26.080712,C2422,P626,Electronics,373.86,4,Cash,Los Angeles
ADD0198,2025-02-12T04:03:12.080712,C5955,P579,Sports,50.08,2,Debit Card,Chicago
ADD0199,2025-02-12T04:03:57.080712,C5618,P189,Home & Kitchen,274.07,5,Mobile Payment,Houston
